#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
| 370307:9044 | 07/08/23 13:04:05 | 708  | 708  | 207115839.305565298 | 199869802.112828970 |
| 370321:9045 | 07/08/23 19:41:07 | 14   | 14   | 1836070.087347135   | 1666772.645962048   |
| 370332:9045 | 07/08/23 20:20:37 | 1965 | 1965 | 740368863.265975237 | 704970753.880013943 |
| 370340:9046 | 07/09/23 10:57:12 | 756  | 756  | 346936195.599314094 | 328448740.943463922 |
| 370354:9049 | 07/09/23 19:08:46 | 278  | 278  | 116069256.717137307 | 111498684.041635990 |
| 370357:9049 | 07/09/23 22:29:46 | 801  | 801  | 330898090.823893785 | 317647048.358586073 |
| 370406:9050 | 07/10/23 12:29:29 | 825  | 825  | 366001147.262743831 | 348224243.187107623 |
| 370436:9050 | 07/10/23 17:55:30 | 27   | 27   | 11461258.479276497  | 10640975.801401669  |
| 370460:9055 | 07/11/23 03:20:19 | 106  | 106  | 33921932.794972032  | 32635921.429138064  |
| 370472:9056 | 07/11/23 07:22:18 | 42   | 42   | 9777308.018825689   | 9639487.434532177   |
| 370497:9057 | 07/11/23 09:38:33 | 1428 | 1428 | 594794281.563160181 | 566908533.009405017 |
| 370522:9059 | 07/11/23 23:55:53 | 322  | 322  | 137510254.087003499 | 131067170.915699810 |
| 370560:9062 | 07/12/23 12:37:34 | 348  | 348  | 150245090.315723419 | 143761852.225561678 |
| 370579:9063 | 07/12/23 17:39:39 | 85   | 85   | 25173253.350420222  | 24127050.332947869  |
| 370580:9063 | 07/12/23 18:17:16 | 2866 | 2866 | 942214956.779789805 | 901271624.183794498 |
| 370667:9066 | 07/14/23 08:10:37 | 100  | 100  | 39251388.353075273  | 36956093.347598717  |
| 370717:9067 | 07/15/23 01:10:34 | 119  | 119  | 37419762.321694694  | 35761816.879164256  |
| 370725:9068 | 07/15/23 05:14:16 | 411  | 411  | 180083007.392588258 | 170297044.899940223 |
| 370749:9070 | 07/15/23 17:21:12 | 1488 | 1488 | 647189580.532984614 | 616521925.178869247 |
| 370753:9070 | 07/16/23 03:18:42 | 249  | 249  | 75996178.576232389  | 73292671.218599483  |
| 370772:9072 | 07/16/23 07:59:39 | 1219 | 1219 | 560919665.391492367 | 533064189.572340608 |
| 370774:9072 | 07/16/23 16:07:33 | 159  | 159  | 59896496.616803728  | 55099322.197329037  |
| 370775:9072 | 07/16/23 17:11:40 | 168  | 168  | 57535970.087398894  | 53347565.642301664  |
| 370776:9072 | 07/16/23 18:19:32 | 326  | 326  | 97975064.732030928  | 94237975.114581585  |
| 370790:9073 | 07/16/23 22:51:09 | 23   | 23   | 3394898.471466561   | 2971679.705755481   |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+-----------------------+-----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)     | totrecorded(/ub)      |
+-------+------+-------+-------+-----------------------+-----------------------+
| 58    | 121  | 63625 | 63625 | 22789244501.985763550 | 21703266327.781280518 |
+-------+------+-------+-------+-----------------------+-----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(370169, 275), (370169, 383), (370169, 635), (370169, 671), (370169, 707), (370169, 743), (370169, 1284), (370169, 1320), (370169, 1428), (370172, 1), (370172, 2), (370172, 3), (370172, 4), (370172, 5), (370172, 6), (370172, 7), (370172, 8), (370172, 9), (370172, 264), (370436, 28), (370436, 29), (370436, 30), (370436, 31), (370460, 114), (370460, 115), (370460, 116), (370460, 117), (370460, 118), (370460, 119), (370460, 120), (370460, 121), (370460, 122), (370460, 123)]
