#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
| 368685:8894 | 06/10/23 07:53:33 | 1481 | 1481 | 580596667.360590935 | 556412261.612209678 |
| 368723:8895 | 06/10/23 23:57:57 | 128  | 128  | 40273813.868434161  | 34448322.220210806  |
| 368724:8895 | 06/11/23 01:02:33 | 1200 | 1200 | 518234599.398523152 | 493084860.115801454 |
| 368746:8896 | 06/11/23 11:22:55 | 50   | 50   | 11317647.101182062  | 10559679.229420029  |
| 368748:8896 | 06/11/23 11:47:58 | 1    | 1    | 338320.898596101    | 330.502533233       |
| 368749:8896 | 06/11/23 11:52:38 | 168  | 168  | 75984761.737561494  | 71292651.132231578  |
| 368752:8896 | 06/11/23 13:07:25 | 1    | 1    | 465284.828347552    | 498.790856354       |
| 368753:8896 | 06/11/23 13:10:11 | 977  | 977  | 426361922.660359204 | 405977587.170358181 |
| 368762:8896 | 06/11/23 22:32:53 | 207  | 207  | 75842396.718755752  | 71323170.038802028  |
| 368763:8896 | 06/11/23 23:57:18 | 1    | 1    | 473527.193471090    | 40072.014771698     |
| 368764:8896 | 06/12/23 00:01:58 | 2    | 2    | 940637.791966699    | 730712.874211837    |
| 368765:8896 | 06/12/23 00:07:45 | 1386 | 1386 | 553677408.727849960 | 531150659.828725278 |
| 368822:8901 | 06/13/23 02:22:26 | 963  | 963  | 415946039.371018112 | 395461986.190310478 |
| 368823:8901 | 06/13/23 08:38:00 | 61   | 61   | 24542979.424795084  | 21009217.694205344  |
| 369556:8981 | 06/25/23 00:46:54 | 220  | 220  | 128.535225980       | 127.325177305       |
| 369560:8982 | 06/25/23 03:44:16 | 15   | 15   | 0.561869002         | 0.556457104         |
| 369684:8989 | 06/26/23 17:04:43 | 77   | 77   | 3506.169152376      | 3468.233897859      |
| 369687:8989 | 06/26/23 17:35:49 | 621  | 621  | 18124.830004472     | 17943.409561915     |
| 369694:8990 | 06/26/23 23:28:04 | 321  | 321  | 11471.275973405     | 11362.853665311     |
+-------------+-------------------+------+------+---------------------+---------------------+
#Summary: 
+-------+------+-------+-------+-----------------------+-----------------------+
| nfill | nrun | nls   | ncms  | totdelivered(/ub)     | totrecorded(/ub)      |
+-------+------+-------+-------+-----------------------+-----------------------+
| 30    | 97   | 35209 | 35209 | 11876816380.430068970 | 11275494060.473758698 |
+-------+------+-------+-------+-----------------------+-----------------------+
#Check JSON:
#(run,ls) in json but not in results: [(367770, 1), (367770, 2), (367770, 3), (367770, 4), (367770, 5), (367770, 6), (367770, 7), (367770, 8), (367770, 9), (367770, 10), (367770, 11), (367770, 12), (367770, 13), (367770, 14), (367770, 15), (367770, 16), (367770, 17), (367770, 18), (367770, 19), (367770, 20), (367770, 21), (367770, 22), (367770, 23), (367770, 24), (367770, 25), (367770, 26), (367770, 27), (367770, 28), (367770, 29), (367770, 30), (367770, 31), (367770, 32), (367770, 33), (367770, 34), (367770, 35), 



